contact_age|Freq|work|school|community|household|pt_sum|ref_age|ref_id
15|500|0|0|0|1|1|15|1
30|500|0|0|0|2|2|15|1
15|500|0|0|0|1|1|15|2
30|500|0|0|0|2|2|15|2
15|500|0|0|0|1|1|15|3
30|500|0|0|0|2|2|15|3
15|500|0|0|0|1|1|15|4
30|500|0|0|0|2|2|15|4
15|500|0|0|0|1|1|15|5
30|500|0|0|0|2|2|15|5
15|500|0|0|0|1|1|15|6
30|500|0|0|0|2|2|15|6
15|500|0|0|0|1|1|15|7
30|500|0|0|0|2|2|15|7
15|500|0|0|0|1|1|15|8
30|500|0|0|0|2|2|15|8
15|500|0|0|0|1|1|15|9
30|500|0|0|0|2|2|15|9
15|500|0|0|0|1|1|15|10
30|500|0|0|0|2|2|15|10
15|500|0|0|0|1|1|15|11
30|500|0|0|0|2|2|15|11
15|500|0|0|0|1|1|15|12
30|500|0|0|0|2|2|15|12
15|500|0|0|0|1|1|15|13
30|500|0|0|0|2|2|15|13
15|500|0|0|0|1|1|15|14
30|500|0|0|0|2|2|15|14
15|500|0|0|0|1|1|15|15
30|500|0|0|0|2|2|15|15
15|500|0|0|0|1|1|15|16
30|500|0|0|0|2|2|15|16
15|500|0|0|0|1|1|15|17
30|500|0|0|0|2|2|15|17
15|500|0|0|0|1|1|15|18
30|500|0|0|0|2|2|15|18
15|500|0|0|0|1|1|15|19
30|500|0|0|0|2|2|15|19
15|500|0|0|0|1|1|15|20
30|500|0|0|0|2|2|15|20
15|500|0|0|0|1|1|15|21
30|500|0|0|0|2|2|15|21
15|500|0|0|0|1|1|15|22
30|500|0|0|0|2|2|15|22
15|500|0|0|0|1|1|15|23
30|500|0|0|0|2|2|15|23
15|500|0|0|0|1|1|15|24
30|500|0|0|0|2|2|15|24
15|500|0|0|0|1|1|15|25
30|500|0|0|0|2|2|15|25
15|500|0|0|0|1|1|15|26
30|500|0|0|0|2|2|15|26
15|500|0|0|0|1|1|15|27
30|500|0|0|0|2|2|15|27
15|500|0|0|0|1|1|15|28
30|500|0|0|0|2|2|15|28
15|500|0|0|0|1|1|15|29
30|500|0|0|0|2|2|15|29
15|500|0|0|0|1|1|15|30
30|500|0|0|0|2|2|15|30
15|500|0|0|0|1|1|15|31
30|500|0|0|0|2|2|15|31
15|500|0|0|0|1|1|15|32
30|500|0|0|0|2|2|15|32
15|500|0|0|0|1|1|15|33
30|500|0|0|0|2|2|15|33
15|500|0|0|0|1|1|15|34
30|500|0|0|0|2|2|15|34
15|500|0|0|0|1|1|15|35
30|500|0|0|0|2|2|15|35
15|500|0|0|0|1|1|15|36
30|500|0|0|0|2|2|15|36
15|500|0|0|0|1|1|15|37
30|500|0|0|0|2|2|15|37
15|500|0|0|0|1|1|15|38
30|500|0|0|0|2|2|15|38
15|500|0|0|0|1|1|15|39
30|500|0|0|0|2|2|15|39
15|500|0|0|0|1|1|15|40
30|500|0|0|0|2|2|15|40
15|500|0|0|0|1|1|15|41
30|500|0|0|0|2|2|15|41
15|500|0|0|0|1|1|15|42
30|500|0|0|0|2|2|15|42
15|500|0|0|0|1|1|15|43
