contact_age|Freq|work|school|community|household|pt_sum|ref_age|ref_id
15|500|0|0|3|1|4|15|1
30|500|0|0|11|2|13|15|1
15|500|0|0|9|1|10|15|2
30|500|0|0|5|2|7|15|2
15|500|0|0|4|1|5|15|3
30|500|0|0|10|2|12|15|3
15|500|0|0|7|1|8|15|4
30|500|0|0|7|2|9|15|4
15|500|0|0|10|1|11|15|5
30|500|0|0|4|2|6|15|5
15|500|0|0|6|1|7|15|6
30|500|0|0|8|2|10|15|6
15|500|0|0|6|1|7|15|7
30|500|0|0|8|2|10|15|7
15|500|0|0|7|1|8|15|8
30|500|0|0|7|2|9|15|8
15|500|0|0|9|1|10|15|9
30|500|0|0|5|2|7|15|9
15|500|0|0|7|1|8|15|10
30|500|0|0|7|2|9|15|10
15|500|0|0|4|1|5|15|11
30|500|0|0|10|2|12|15|11
15|500|0|0|3|1|4|15|12
30|500|0|0|6|2|8|15|12
15|500|0|0|4|1|5|15|13
30|500|0|0|10|2|12|15|13
15|500|0|0|10|1|11|15|14
30|500|0|0|4|2|6|15|14
15|500|0|0|10|1|11|15|15
30|500|0|0|4|2|6|15|15
15|500|0|0|4|1|5|15|16
30|500|0|0|10|2|12|15|16
15|500|0|0|6|1|7|15|17
30|500|0|0|8|2|10|15|17
15|500|0|0|9|1|10|15|18
30|500|0|0|5|2|7|15|18
15|500|0|0|5|1|6|15|19
30|500|0|0|9|2|11|15|19
15|500|0|0|6|1|7|15|20
30|500|0|0|8|2|10|15|20
15|500|0|0|6|1|7|15|21
30|500|0|0|8|2|10|15|21
15|500|0|0|10|1|11|15|22
30|500|0|0|4|2|6|15|22
15|500|0|0|6|1|7|15|23
30|500|0|0|8|2|10|15|23
15|500|0|0|9|1|10|15|24
30|500|0|0|5|2|7|15|24
15|500|0|0|8|1|9|15|25
30|500|0|0|6|2|8|15|25
15|500|0|0|9|1|10|15|26
30|500|0|0|5|2|7|15|26
15|500|0|0|6|1|7|15|27
30|500|0|0|8|2|10|15|27
15|500|0|0|4|1|5|15|28
30|500|0|0|10|2|12|15|28
15|500|0|0|8|1|9|15|29
30|500|0|0|6|2|8|15|29
15|500|0|0|9|1|10|15|30
30|500|0|0|5|2|7|15|30
15|500|0|0|10|1|11|15|31
30|500|0|0|4|2|6|15|31
15|500|0|0|6|1|7|15|32
30|500|0|0|8|2|10|15|32
15|500|0|0|7|1|8|15|33
30|500|0|0|7|2|9|15|33
15|500|0|0|7|1|8|15|34
30|500|0|0|7|2|9|15|34
15|500|0|0|9|1|10|15|35
30|500|0|0|5|2|7|15|35
15|500|0|0|7|1|8|15|36
30|500|0|0|7|2|9|15|36
15|500|0|0|10|1|11|15|37
30|500|0|0|4|2|6|15|37
15|500|0|0|8|1|9|15|38
30|500|0|0|6|2|8|15|38
15|500|0|0|6|1|7|15|39
30|500|0|0|8|2|10|15|39
15|500|0|0|4|1|5|15|40
30|500|0|0|10|2|12|15|40
15|500|0|0|10|1|11|15|41
30|500|0|0|4|2|6|15|41
15|500|0|0|7|1|8|15|42
30|500|0|0|7|2|9|15|42
15|500|0|0|10|1|11|15|43
30|500|0|0|4|2|6|15|43
15|500|0|0|9|1|10|15|44
30|500|0|0|5|2|7|15|44
15|500|0|0|10|1|11|15|45
30|500|0|0|4|2|6|15|45
15|500|0|0|10|1|11|15|46
30|500|0|0|4|2|6|15|46
15|500|0|0|7|1|8|15|47
